id	分類	リスト	読み	許容表記	指示
R01	練習	練習	おはようございます。	おはようございます。	-
R02	練習	練習	そらがあおい。	空が青い。	-
R03	練習	練習	10じにおきた。	10時に起きた。|１０時に起きた。	-
R04	練習	練習	ねこがねている。	猫が寝ている。	-
R05	練習	練習	teaをのむ。	teaを飲む。	-
R06	練習	練習	またあした	また明日|またあした	句点を入れず、改行キーで終える
N01	通常文	A	きょうはあめがふっています。	今日は雨が降っています。	-
N02	通常文	B	えきまであるいていきます。	駅まで歩いて行きます。|駅まで歩いていきます。	-
N03	通常文	C	あしたのかいぎはごごからです。	明日の会議は午後からです。|あしたの会議は午後からです。	-
N04	通常文	A	へやのでんきをけしてください。	部屋の電気を消してください。|部屋の電気を消して下さい。	-
N05	通常文	B	このほんはとてもおもしろかった。	この本はとても面白かった。|この本はとてもおもしろかった。	-
N06	通常文	C	しゅうまつはかぞくとすごしました。	週末は家族と過ごしました。	-
H01	同音異義語	A	こうえんでこうえんをきいた。	公園で講演を聞いた。|公園で講演を聴いた。	-
H02	同音異義語	B	かいぎでいけんをのべる。	会議で意見を述べる。	-
H03	同音異義語	C	あついおちゃをのんだ。	熱いお茶を飲んだ。	-
H04	同音異義語	A	しんぶんきしゃにしゅざいされた。	新聞記者に取材された。	-
H05	同音異義語	B	ことしのなつはあつい。	今年の夏は暑い。	-
H06	同音異義語	C	きしゃのきしゃがきしゃできしゃした。	貴社の記者が汽車で帰社した。	-
P01	名前	A	たかなしさんにれんらくします。	高梨さんに連絡します。	表示した表記の名前だけを正解とする
P02	名前	B	わたなべさんとさいとうさんがきた。	渡辺さんと斉藤さんが来た。	表示した表記の名前だけを正解とする
P03	名前	C	みなみかぜちょうへひっこした。	南風町へ引っ越した。	架空の地名。表示した表記だけを正解とする
P04	名前	A	さくらいゆうとさんからのてがみ。	桜井悠斗さんからの手紙。	表示した表記の名前だけを正解とする
P05	名前	B	すずきはなこさんがはっぴょうした。	鈴木花子さんが発表した。	表示した表記の名前だけを正解とする
P06	名前	C	まつもとせんせいにそうだんする。	松本先生に相談する。	-
D01	数値	A	3じ15ふんにあいましょう。	3時15分に会いましょう。|３時１５分に会いましょう。	-
D02	数値	B	ねだんは1280えんです。	値段は1280円です。|値段は1,280円です。|値段は１２８０円です。	-
D03	数値	C	2026ねん10がつ1にちにはじまる。	2026年10月1日に始まる。|２０２６年１０月１日に始まる。	-
D04	数値	A	きおんは25.5どでした。	気温は25.5度でした。|気温は25.5℃でした。	-
D05	数値	B	だい3しょうの2せつをよむ。	第3章の2節を読む。|第３章の２節を読む。	-
D06	数値	C	やく50ぱーせんとがさんせいした。	約50パーセントが賛成した。|約50%が賛成した。|約50％が賛成した。	-
U01	URL	A	https://example.com/	https://example.com/	英字配列で入力する
U02	URL	B	しょうさいはexample.org/helpをみてください。	詳細はexample.org/helpを見てください。|詳細はexample.org/helpをみてください。	URL部分は英字配列で入力する
U03	URL	C	https://www.example.net/news?id=42	https://www.example.net/news?id=42	英字配列で入力する
U04	URL	A	めーるはinfo@example.comまで。	メールはinfo@example.comまで。	アドレス部分は英字配列で入力する
U05	URL	B	example.com/a-b_c.html	example.com/a-b_c.html	英字配列で入力する
U06	URL	C	りんくはhttps://example.net/です。	リンクはhttps://example.net/です。	URL部分は英字配列で入力する
